business_name,business_profitable_income,num_employee,building,street,city,zipcode,phone,business_id,industry_id
"ROSEN, JEFFREY",827730,28,713,CEDAR STREET,FORT LEE,07024,9172735395,1001,1
"SELLAMI, ALI",725563,79,23,4th STREET,JERSEY CITY,07306,5512429511,1002,2
"BENDAHAME, DRISS",3345980,160,264,FITZPATRICK ST,HILLSIDE,07205,3478674542,1003,3
"Credit Bureau of Napa County, Inc.",24453225,50,165,PASSAIC AVE,FAIRFIELD,07004,2067907282,1004,4
AAA LINER REPLACEMENTS CORPORATION,981056,70,2560,US HIGHWAY 22,SCOTCH PLAINS,07076,9085784242,1005,5
"PUSKAS, ALEXANDER",209376,15,1118,BERGEN AVENUE,HARRISON,07029,9732024289,1006,1
"OTABOR, OSARUMEN",967098,56,260,ATLANTIC STREET,UNION,07083,8622568520,1007,6
"IRONBO, INC.",20167,23,197,FIRENZE ST,NORTHVALE,07647,2018570178,1008,5
"OGUINE, CHUKWUMA",298756,31,32,CLINTON STREET,NEWARK,07108,17147370224,1009,6
MAGNUM HEATING AND COOLING LLC,6538890,120,77,CLIFFWOOD AVE,CLIFFWOOD,07721,7326169939,1010,7
"FATUASE, BOLANLE",279062,20,11,BELMONT AVENUE,JERSEY CITY,07304,5512635613,1011,6
"CONROY, DANIEL",90786,31,560,BLOOMFIELD AVEUNUE,BAYONNE,07002,7324031361,1012,8
"ALIYEV, ISLAM",967700,20,230,NORTH 5th STREET,LODI,07644,9736530530,1013,2
"MOKOKO, GUY",92678,15,10,ADAMS STREET,JERSEY CITY,07307,9178915950,1014,6
